room,session_order,presentation_order,title,abstract,keyword,authors_name,authors_belongs
F,8,4,Twitterにおけるユーザー同士の会話に基づいた親密度の評価と時系列的変化の可視化,本研究では，Twitterを対象としたユーザー同士の会話に基づく親密度を評価し，親密度の時系列的変化を可視化するシステムの構築を行う．rn　従来のユーザーがもつ影響力分析では，ユーザー間のフォロー関係のみを考慮するものであった．しかし，単にフォロー関係のみでは建前的にフォローを仕返す慣習があることや，フォローしているユーザーごとに密接であることや希薄であることなどの本質的な交友関係をくみとることが不可能な問題があった．rn　そこで会話の内容に立ち入り，ユーザー同士の親密度を評価することで，本質的な交友関係を示す事が可能になる．本システムでは，時間変化に伴いユーザー間の親密度が直感的に理解できるものとする,"ソーシャルメディア, ソーシャルグラフ","小寺 暁久,横山 昌平,山田 文康","静大,静大,静大"
A,1,1,Copulaを用いたスコア統合手法とその有効性の検証,本研究では、複数の評価尺度(クエリとの適合度、文書の新鮮さなど)統合において、確率モデルであるCopulaを用いることで検索精度の向上を目指した。複数の評価尺度を用いた情報検索は、線形結合やランキング学習によって実現されているが、線形結合には評価尺度間の依存関係を考慮していないという問題があり、ランキング学習には結果に対する理由付けが難しいという問題がある。その点Copulaは評価尺度間の依存関係を考慮するために線形結合やランキング学習の問題点を解決できる。QAサイトを用いた評価実験の結果、Copulaを利用することで従来の線形結合やランキング学習と比較してより正確に検索を行うことが可能であることを示した。,情報検索、コピュラ、スコア統合、機械学習,"小松田 卓也,清水 伸幸,田島 玲,欅 惇志,宮崎 純","東工大,Yahoo! JAPAN研究所,Yahoo! JAPAN研究所,東工大,東工大"
B,2,2,Monofic: チャンネル指向型情報フィルタリングシステム,従来の推薦システムは、(1)自分の好みの推薦やフィルタリングを構築するまでに時間がかかる(2)推薦によるパーソナライズによって得られる情報に偏りが出る(3)ユーザの嗜好の変化に対応できない、といったいくつかの問題がある。rnそこで本研究では、自在な情報フィルタリングのカスタマイズを可能とするチャンネル指向型情報フィルタリングシステムMonoficの提案とその実装を行った。rnこのシステムでは、チャンネルと呼ばれるフィードリストに対し「フィルタグ」と呼ばれるフィルタリング機能を持ったタグを付け替えすることにより、配信されるフィードを特定の話題や自分好みにカスタマイズすることができる。rnまた、他ユーザのチャンネルを利用して新しくチャンネルを作成したり、他ユーザのフィルタグを共有し自分のチャンネルに取り入れるといったこともできる。このような機能により単なるパーソナライズに留まらないより広い視点での情報収集を簡単に行うことが可能となる。,"情報フィルタリング, 情報推薦, チャンネル指向, ニュース推薦","田中 優,増井 俊之","慶大,慶大"
C,3,3,オフィス環境における状況別電力可視化のためのUHF帯RFIDを用いた状況推定,現在社会的に電力削減要求が高まっており，オフィスなどの業務部門においても効果的な電力削減が求められている．オフィスにおける業務内容は，デスクワークのような個人作業と，突発的に起こる相談や大人数で行う会議といった共同作業に分けられる．個人作業時における電化製品の消費電力は適切に仕事に使用されているといえる．一方，共同作業時における個人利用の電化製品の消費電力は仕事に使用されない無駄な電力といえる．本研究ではUHF帯RFIDを用いて，個人作業と共同作業を区別できるシステムを提案する．リーダを着用したユーザが他のユーザのタグを認識することで，リーダを持つユーザの状況を取得する．これと電化製品の電力ログを紐付けることで，無駄に使われた電力量を算出することが可能となる．また，実際に妥当性の検証を行う．,"ウェアラブル端末, エネルギーマネジメント, データベース, ユビキタス環境, 電力使用状況推定","西本 直樹,高橋 慶多,北島 大,本藤 祐樹,富井 尚志","横浜国立大学,横浜国立大学,横浜国立大学,横浜国立大学,横浜国立大学"
D,4,4,SNS上での拡散を誘発するwebニュース説明文の調査と自動選択,SNSの隆盛によりニュース消費に大きな変化が起きている．読者は，新聞，テレビから一方的にニュースを受け取るのではなく，SNS上から読者の関心に合わせてニュースを選択するようになっている．この変化により，ニュースメディアは記事をSNS上で拡散する必要に迫られているが，その方法は確立されていない．本研究では．SNS上で多くの読者の目を引きつけるニュースの説明文を自動的に生成し配信することを目指す．この目標に向け，ニュースサイトのSNS利用と反応を分析・抽出した拡散要因を用い，適切な説明文を候補文の中から自動的に選択する，ランキング学習に基づく手法を提案し，実際のTwitterの投稿と記事を用いた実験により，その有効性を示す．,"ソーシャルメディア, ニュース, 文書要約, ランキング学習","興梠 紗和,木村 昭悟,藤代 裕之,西川 仁","法政大,NTT,法政大,NTT"
E,5,5,MapReduceによる大規模なRDFデータ復号化手法の評価,近年、様々な情報がRDFで記述されることが増えている。RDF データが急激に増加する中、秘匿性のあるデータを保護するため、暗号化が求められる。しかし、RDFデータを解析する場合、暗号化したままで処理できることは限られており、復号化してから処理を行わなければならない場合がある。大量データに対する復号化には時間がかかり、並列処理による高速化が望まれる。本研究はMapReduceを用いた大量なRDFデータ復号化の並列化アルゴリズムを提案する。RDFは主語、述語、目的語の三つ組によって構成される。提案手法では同じ主語、述語、目的語をグループ化して、復号化をすることで実行時間の短縮を試みる。さらに、Hadoop上でプロトタイプを実装し、提案手法の処理効率を評価する。,"RDF, RDF復号化, MapReduce","Vu Tuan Dat,横田 治夫","東工大,東工大"
